day;month;sunrise;sunset
17;5;05:16:34;21:21:31
18;5;05:15:01;21:23:08
19;5;05:13:29;21:24:44
20;5;05:12:00;21:26:19
21;5;05:10:34;21:27:52
22;5;05:09:10;21:29:24
23;5;05:07:48;21:30:55
24;5;05:06:29;21:32:23
25;5;05:05:13;21:33:50
26;5;05:03:59;21:35:15
27;5;05:02:48;21:36:38
28;5;05:01:40;21:38:00
29;5;05:00:35;21:39:19
30;5;04:59:33;21:40:36
31;5;04:58:34;21:41:51
1;6;04:57:38;21:43:04
2;6;04:56:45;21:44:14
3;6;04:55:55;21:45:22
4;6;04:55:08;21:46:27
5;6;04:54:25;21:47:30
6;6;04:53:44;21:48:30
7;6;04:53:07;21:49:27
8;6;04:52:34;21:50:22
9;6;04:52:03;21:51:13
10;6;04:51:37;21:52:02
11;6;04:51:13;21:52:47
12;6;04:50:53;21:53:30
13;6;04:50:37;21:54:09
14;6;04:50:24;21:54:45
15;6;04:50:14;21:55:18
16;6;04:50:08;21:55:47
17;6;04:50:05;21:56:13
18;6;04:50:06;21:56:36
19;6;04:50:11;21:56:55
20;6;04:50:19;21:57:11
21;6;04:50:30;21:57:24
22;6;04:50:45;21:57:32
23;6;04:51:03;21:57:38
24;6;04:51:24;21:57:40
25;6;04:51:49;21:57:38
26;6;04:52:17;21:57:33
27;6;04:52:48;21:57:24
28;6;04:53:23;21:57:12
29;6;04:54:01;21:56:56
30;6;04:54:41;21:56:36
1;7;04:55:25;21:56:14
2;7;04:56:12;21:55:47
3;7;04:57:02;21:55:18
4;7;04:57:54;21:54:44
5;7;04:58:49;21:54:08
6;7;04:59:47;21:53:28
7;7;05:00:48;21:52:45
8;7;05:01:51;21:51:58
9;7;05:02:57;21:51:09
10;7;05:04:05;21:50:16
11;7;05:05:15;21:49:20
12;7;05:06:27;21:48:21
13;7;05:07:42;21:47:19
14;7;05:08:59;21:46:14
15;7;05:10:17;21:45:06
16;7;05:11:38;21:43:55
17;7;05:13:00;21:42:42
18;7;05:14:24;21:41:26
19;7;05:15:50;21:40:07
20;7;05:17:17;21:38:45
21;7;05:18:46;21:37:21
22;7;05:20:16;21:35:54
23;7;05:21:47;21:34:25
24;7;05:23:20;21:32:54
25;7;05:24:54;21:31:20
26;7;05:26:29;21:29:44
27;7;05:28:05;21:28:06
28;7;05:29:43;21:26:25
29;7;05:31:21;21:24:43
30;7;05:33:00;21:22:59
31;7;05:34:39;21:21:12
1;8;05:36:20;21:19:24
2;8;05:38:01;21:17:34
3;8;05:39:43;21:15:42
4;8;05:41:25;21:13:48
5;8;05:43:08;21:11:52
6;8;05:44:51;21:09:55
7;8;05:46:35;21:07:57
8;8;05:48:19;21:05:57
9;8;05:50:04;21:03:55
10;8;05:51:49;21:01:52
11;8;05:53:34;20:59:47
12;8;05:55:19;20:57:41
13;8;05:57:05;20:55:34
14;8;05:58:51;20:53:26
15;8;06:00:37;20:51:16
16;8;06:02:23;20:49:05
17;8;06:04:09;20:46:53
18;8;06:05:55;20:44:40
19;8;06:07:42;20:42:26
20;8;06:09:28;20:40:11
21;8;06:11:15;20:37:55
22;8;06:13:01;20:35:39
23;8;06:14:48;20:33:21
24;8;06:16:34;20:31:02
25;8;06:18:21;20:28:43
26;8;06:20:07;20:26:23
27;8;06:21:54;20:24:02
28;8;06:23:40;20:21:40
29;8;06:25:26;20:19:18
30;8;06:27:13;20:16:55
31;8;06:28:59;20:14:32
1;9;06:30:45;20:12:08
2;9;06:32:32;20:09:43
3;9;06:34:18;20:07:18
4;9;06:36:04;20:04:52
5;9;06:37:50;20:02:26
6;9;06:39:36;20:00:00
7;9;06:41:22;19:57:33
8;9;06:43:08;19:55:06
9;9;06:44:54;19:52:39
10;9;06:46:40;19:50:11
11;9;06:48:26;19:47:43
12;9;06:50:12;19:45:15
13;9;06:51:58;19:42:47
14;9;06:53:44;19:40:18
15;9;06:55:31;19:37:50
16;9;06:57:17;19:35:21
17;9;06:59:03;19:32:52
18;9;07:00:49;19:30:23
19;9;07:02:36;19:27:54
20;9;07:04:22;19:25:25
21;9;07:06:09;19:22:57
22;9;07:07:56;19:20:28
23;9;07:09:43;19:17:59
24;9;07:11:30;19:15:31
25;9;07:13:17;19:13:02
26;9;07:15:05;19:10:34
27;9;07:16:52;19:08:06
28;9;07:18:40;19:05:38
29;9;07:20:28;19:03:10
30;9;07:22:16;19:00:43
1;10;07:24:05;18:58:16
2;10;07:25:54;18:55:50
3;10;07:27:43;18:53:24
4;10;07:29:32;18:50:58
5;10;07:31:21;18:48:32
6;10;07:33:11;18:46:08
7;10;07:35:01;18:43:43
8;10;07:36:52;18:41:19
9;10;07:38:42;18:38:56
10;10;07:40:33;18:36:34
11;10;07:42:25;18:34:12
12;10;07:44:16;18:31:50
13;10;07:46:08;18:29:30
14;10;07:48:00;18:27:10
15;10;07:49:53;18:24:51
16;10;07:51:46;18:22:33
17;10;07:53:39;18:20:15
18;10;07:55:33;18:17:59
19;10;07:57:27;18:15:43
20;10;07:59:21;18:13:29
21;10;08:01:15;18:11:15
22;10;08:03:10;18:09:03
23;10;08:05:05;18:06:51
24;10;08:07:00;18:04:41
25;10;08:08:56;18:02:32
26;10;08:10:51;18:00:24
27;10;08:12:47;17:58:18
28;10;08:14:43;17:56:12
29;10;08:16:40;17:54:08
30;10;08:18:36;17:52:06
31;10;07:20:32;16:50:05
1;11;07:22:29;16:48:06
2;11;07:24:26;16:46:08
3;11;07:26:22;16:44:12
4;11;07:28:19;16:42:17
5;11;07:30:15;16:40:24
6;11;07:32:12;16:38:33
7;11;07:34:08;16:36:44
8;11;07:36:04;16:34:57
9;11;07:38:00;16:33:11
10;11;07:39:55;16:31:28
11;11;07:41:50;16:29:47
12;11;07:43:45;16:28:08
13;11;07:45:39;16:26:31
14;11;07:47:33;16:24:56
15;11;07:49:26;16:23:24
16;11;07:51:18;16:21:54
17;11;07:53:10;16:20:27
18;11;07:55:00;16:19:02
19;11;07:56:50;16:17:40
20;11;07:58:39;16:16:20
21;11;08:00:26;16:15:03
22;11;08:02:13;16:13:49
23;11;08:03:58;16:12:38
24;11;08:05:42;16:11:29
25;11;08:07:24;16:10:24
26;11;08:09:05;16:09:22
27;11;08:10:44;16:08:22
28;11;08:12:22;16:07:26
29;11;08:13:58;16:06:33
30;11;08:15:31;16:05:44
1;12;08:17:03;16:04:58
2;12;08:18:33;16:04:15
3;12;08:20:00;16:03:36
4;12;08:21:25;16:03:00
5;12;08:22:48;16:02:27
6;12;08:24:08;16:01:59
7;12;08:25:26;16:01:34
8;12;08:26:41;16:01:12
9;12;08:27:53;16:00:55
10;12;08:29:02;16:00:41
11;12;08:30:09;16:00:31
12;12;08:31:12;16:00:24
13;12;08:32:12;16:00:22
14;12;08:33:09;16:00:23
15;12;08:34:03;16:00:28
16;12;08:34:53;16:00:37
17;12;08:35:40;16:00:50
18;12;08:36:24;16:01:06
19;12;08:37:04;16:01:26
20;12;08:37:40;16:01:51
21;12;08:38:13;16:02:18
22;12;08:38:42;16:02:50
23;12;08:39:08;16:03:25
24;12;08:39:30;16:04:04
25;12;08:39:48;16:04:47
26;12;08:40:02;16:05:33
27;12;08:40:13;16:06:23
28;12;08:40:20;16:07:16
29;12;08:40:23;16:08:12
30;12;08:40:22;16:09:12
31;12;08:40:17;16:10:15
